"CO_CGCE_N3";"NO_CGCE_N3";"NO_CGCE_N3_ING";"NO_CGCE_N3_ESP";"CO_CGCE_N2";"NO_CGCE_N2";"NO_CGCE_N2_ING";"NO_CGCE_N2_ESP";"CO_CGCE_N1";"NO_CGCE_N1";"NO_CGCE_N1_ING";"NO_CGCE_N1_ESP"
"110";"Bens de capital (exceto equipamentos de transporte)";"Capital goods, except industrial transport equipment";"Bienes de capital, excepto equipo de transporte industrial";"11";"Bens de capital, exceto equipamentos de transporte industrial";"Capital goods, except industrial transport equipment";"Bienes de capital, excepto equipo de transporte industrial";"1";"BENS DE CAPITAL (BK)";"CAPITAL GOODS (BK)";"BIENES DE CAPITAL (BK)"
"120";"Equipamentos de transporte industrial";"Equipment for industrial transportation";"Equipos de transporte industrial";"12";"Equipamentos de transporte industrial";"Equipment for industrial transportation";"Equipos de transporte industrial";"1";"BENS DE CAPITAL (BK)";"CAPITAL GOODS (BK)";"BIENES DE CAPITAL (BK)"
"210";"Alimentos e bebidas básicos, destinados principalmente à indústria";"Basic food and beverages, mainly for industry";"Alimentos y bebidas básicos, principalmente para la industria";"21";"Alimentos e bebidas básicos, destinados principalmente à indústria";"Basic food and beverages, mainly for industry";"Alimentos y bebidas básicos, principalmente para la industria";"2";"BENS INTERMEDIÁRIOS (BI)";"INTERMEDIATE GOODS (BI)";"BIENES INTERMEDIOS (BI)"
"220";"Alimentos e bebidas elaborados, destinados principalmente à indústria";"Elaborated food and beverages, mainly for industry";"Alimentos y bebidas preparados, principalmente para la industria";"22";"Alimentos e bebidas elaborados, destinados principalmente à indústria";"Elaborated food and beverages, mainly for industry";"Alimentos y bebidas preparados, principalmente para la industria";"2";"BENS INTERMEDIÁRIOS (BI)";"INTERMEDIATE GOODS (BI)";"BIENES INTERMEDIOS (BI)"
"230";"Insumos industriais básicos";"Basic industrial inputs";"Insumos industriales básicos";"23";"Insumos industriais básicos";"Basic industrial inputs";"Insumos industriales básicos";"2";"BENS INTERMEDIÁRIOS (BI)";"INTERMEDIATE GOODS (BI)";"BIENES INTERMEDIOS (BI)"
"240";"Insumos industriais elaborados";"Elaborated industrial inputs";"Insumos industriales elaborados";"24";"Insumos industriais elaborados";"Elaborated industrial inputs";"Insumos industriales elaborados";"2";"BENS INTERMEDIÁRIOS (BI)";"INTERMEDIATE GOODS (BI)";"BIENES INTERMEDIOS (BI)"
"270";"Peças e acessórios para bens de capital";"Parts and accessories for capital goods";"Piezas y accesorios para bienes de capital";"27";"Peças e acessórios para bens de capital";"Parts and accessories for capital goods";"Piezas y accesorios para bienes de capital";"2";"BENS INTERMEDIÁRIOS (BI)";"INTERMEDIATE GOODS (BI)";"BIENES INTERMEDIOS (BI)"
"280";"Peças para equipamentos de transporte";"Parts for transport equipment";"Piezas para equipos de transporte";"28";"Peças para equipamentos de transporte";"Parts for transport equipment";"Piezas para equipos de transporte";"2";"BENS INTERMEDIÁRIOS (BI)";"INTERMEDIATE GOODS (BI)";"BIENES INTERMEDIOS (BI)"
"311";"Bens de consumo duráveis - exceto equipamentos de transportes";"Durable consumer goods - except transport equipment";"Bienes de consumo durables - excepto equipo de transporte";"31";"Bens de consumo duráveis";"Durable consumer goods";"Bienes de consumo durables";"3";"BENS DE CONSUMO (BC)";"CONSUMER GOODS (BC)";"BIENES DE CONSUMO (BC)"
"312";"Automóveis para passageiros";"Cars for passengers";"Coches a pasajeros";"31";"Bens de consumo duráveis";"Durable consumer goods";"Bienes de consumo durables";"3";"BENS DE CONSUMO (BC)";"CONSUMER GOODS (BC)";"BIENES DE CONSUMO (BC)"
