"CO_SH6";"NO_SH6_POR";"NO_SH6_ESP";"NO_SH6_ING";"CO_SH4";"NO_SH4_POR";"NO_SH4_ESP";"NO_SH4_ING";"CO_SH2";"NO_SH2_POR";"NO_SH2_ESP";"NO_SH2_ING";"CO_NCM_SECROM";"NO_SEC_POR";"NO_SEC_ESP";"NO_SEC_ING"
"010110";"Animais vivos das espécies cavalar, asinina e muar, reprodutores de raça pura";"Caballos y asnos, reproductores de raza pura";"Pure-bred breeding horses and asses";"0101";"Cavalos, asininos e muares, vivos";"Caballos, asnos, mulos y burdéganos, vivos";"Live horses, asses, mules and hinnies";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010111";"Cavalos reprodutores, de raça pura";"Caballos reproductores de raza pura";"Pure-bred breeding horses";"0101";"Cavalos, asininos e muares, vivos";"Caballos, asnos, mulos y burdéganos, vivos";"Live horses, asses, mules and hinnies";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010119";"Outros cavalos, vivos";"Demás caballos, vivos";"Other live horses";"0101";"Cavalos, asininos e muares, vivos";"Caballos, asnos, mulos y burdéganos, vivos";"Live horses, asses, mules and hinnies";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010120";"Asininos e muares vivos";"Asnos, mulos y burdéganos, vivos";"Asses, mules and hinnies (live)";"0101";"Cavalos, asininos e muares, vivos";"Caballos, asnos, mulos y burdéganos, vivos";"Live horses, asses, mules and hinnies";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010121";"Cavalos reprodutores de raça pura";"Caballos de raza selecta para reproducción";"Pure-bred breeding horses";"0101";"Cavalos, asininos e muares, vivos";"Caballos, asnos, mulos y burdéganos, vivos";"Live horses, asses, mules and hinnies";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010129";"Cavalos vivos, exceto reprodutores de raça pura";"Caballos vivos, excepto reproductores de raza pura";"Live horses, except pure-bred breeding";"0101";"Cavalos, asininos e muares, vivos";"Caballos, asnos, mulos y burdéganos, vivos";"Live horses, asses, mules and hinnies";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010130";"Animais da espécie asinina/muar, reprodutores de raça pura";"Asnos o mulas, reproductores de raza pura";"Asses/mules, pure-bred breeding";"0101";"Cavalos, asininos e muares, vivos";"Caballos, asnos, mulos y burdéganos, vivos";"Live horses, asses, mules and hinnies";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010190";"Animais vivos das espécies cavalar, asinina e muar, exceto reprodutores raça pura";"Caballos, asnos, mulos y burdéganos, vivos (exc. reproductores de raza pura)";"Live horses, asses, mules and hinnies (excl. pure-bred for breeding)";"0101";"Cavalos, asininos e muares, vivos";"Caballos, asnos, mulos y burdéganos, vivos";"Live horses, asses, mules and hinnies";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010210";"Bovinos reprodutores de raça pura";"Bovinos reproductores de raza pura";"Pure-bred breeding bovines";"0102";"Animais vivos da espécie bovina";"Animales vivos de la especie bovina";"Live bovine animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
"010221";"Bovinos domésticos reprodutores de raça pura";"El ganado doméstico raza selecta para reproducción";"Domestic cattle bred for breeding";"0102";"Animais vivos da espécie bovina";"Animales vivos de la especie bovina";"Live bovine animals";"01";"Animais vivos";"Animales vivos";"Live animals";"I";"Animais vivos e produtos do reino animal";"Animales vivos y productos del reino animal";"Lives animals; Animal products"
